image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;81;60;48;;;;
img_02;83;78;60;;;;
img_03;88;56;46;;;;
img_04;75;58;46;;;;
img_05;56;45;36;;;;
img_06;92;58;45;;;;
img_07;75;58;46;;;;
img_08;58;46;37;;;;
img_09;89;61;44;;;;
img_10;77;73;60;;;;
img_11;85;50;38;;;;
img_12;55;45;39;;;;
img_13;78;51;40;;;;
img_14;63;55;47;;;;
img_15;64;43;33;;;;
