image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;105;40;;;;;
img_02;92;41;;;;;
img_03;66;39;;;;;
img_04;63;40;;;;;
img_05;52;36;;;;;
img_06;62;60;;;;;
img_07;69;57;;;;;
img_08;85;46;;;;;
img_09;76;51;;;;;
img_10;72;29;;;;;
img_11;58;36;;;;;
img_12;104;40;;;;;
img_13;70;37;;;;;
img_14;79;41;;;;;
img_15;70;43;;;;;
