image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;37;27;;;;;
img_02;87;53;;;;;
img_03;47;34;;;;;
img_04;76;62;;;;;
img_05;99;41;;;;;
img_06;65;34;;;;;
img_07;114;86;;;;;
img_08;44;39;;;;;
img_09;79;50;;;;;
img_10;109;86;;;;;
img_11;55;48;;;;;
img_12;82;47;;;;;
img_13;73;57;;;;;
img_14;84;38;;;;;
img_15;71;40;;;;;
